YEAR,ACE,NETPOINTWON,BREAKPOINTWON,FIRSTSRVWON,FIRSTSRVIN,DOUBLEFAULT,FORCEDERROR,SECONDSRVIN,WINNER,NETPOINT,BREAKPOINTMISSED,UNFERR,BREAKPOINT,SECONDSRVWON
2011,0.375,0.65,0.283333333333333,2.275,3.00833333333333,0.0333333333333333,1.40833333333333,1.56666666666667,1.98333333333333,1.98333333333333,0.35,1.79166666666667,0.633333333333333,0.875
2012,0.52,0.85,0.22,0,0,0.11,0,0,2.27,1.27,0.47,1.59,0.47,0
2013,0.8,1.48333333333333,0.35,0,0,0.2,0,0,3.86666666666667,2.86666666666667,1.2,3.31666666666667,1.2,0
2014,3.53333333333333,3.46666666666667,1.53333333333333,0,0,0.533333333333333,0,0,16.5333333333333,12.7333333333333,4.53333333333333,12.2,4.53333333333333,0
2015,5.2,3.33333333333333,1.6,0,0,1.6,0,0,20,15.3333333333333,4.66666666666667,15.3333333333333,4.66666666666667,0
