MATCH_ID,TOURNAMENT,YEAR,PLAYER1,PLAYER1_ID,PLAYER2,PLAYER2_ID,WINNER,P2ACE,P1NETPOINTWON,P1BREAKPOINTWON,P1ACE,P1FIRSTSRVWON,P1FIRSTSRVIN,P2UNFERR,P1DOUBLEFAULT,P2NETPOINT,P1FORCEDERROR,P2BREAKPOINTMISSED,P2NETPOINTWON,P2DOUBLEFAULT,P2SECONDSRVIN,P2FIRSTSRVIN,P2SECONDSRVWON,P2WINNER,P2BREAKPOINTWON,P1SECONDSRVIN,P1WINNER,P2GAMESWON,P2BREAKPOINT,P2FORCEDERROR,P1GAMESWON,P1NETPOINT,P1BREAKPOINTMISSED,P1UNFERR,P2FIRSTSRVWON,P1BREAKPOINT,P1SECONDSRVWON,PLAYER1_WON_SETS,PLAYER2_WON_SETS
2011-ausopen-1153,AUS_OPEN,2011,Stanislas Wawrinka,atpw367,Teymuraz Gabashvili,atpg681,1,6,11,3,11,47,60,52,5,43,24,1,27,4,47,56,28,36,1,46,39,523,2,25,577,21,7,42,38,10,28,3,0
2011-ausopen-1156,AUS_OPEN,2011,Thiemo de Bakker,atpd776,Gael Monfils,atpmc65,2,13,38,5,14,75,119,33,5,50,48,19,29,4,43,84,23,55,9,67,57,786,28,58,791,63,4,71,64,9,29,2,3
2011-ausopen-1157,AUS_OPEN,2011,Mardy Fish,atpf339,Victor Hanescu,atph528,1,10,34,6,12,60,78,42,3,36,39,7,22,1,36,109,20,52,5,57,70,692,12,31,650,45,7,50,73,13,30,3,2
2011-ausopen-1160,AUS_OPEN,2011,Lukasz Kubot,atpk540,Sam Querrey,atpq927,1,19,48,7,7,83,110,25,8,24,59,8,18,4,53,115,29,52,4,43,75,745,12,75,814,68,6,47,72,13,21,3,2
2011-ausopen-1163,AUS_OPEN,2011,Yen-Hsun Lu,atpl575,Gilles Simon,atpsd32,2,6,24,1,3,50,76,35,4,22,28,5,18,2,62,61,38,47,6,46,43,591,11,35,563,34,5,63,47,6,23,1,3
2011-ausopen-1164,AUS_OPEN,2011,Lukas Lacko,atpl797,Roger Federer,atpf324,2,8,7,1,3,33,56,18,1,20,27,7,16,1,20,38,14,37,7,26,11,366,14,22,146,13,0,27,33,1,6,0,3
2011-ausopen-1201,AUS_OPEN,2011,Rafael Nadal,atpn409,Ryan Sweeting,atpsg87,1,2,15,8,7,33,40,28,4,16,13,1,11,5,16,57,8,14,1,20,36,77,2,26,402,16,7,25,26,15,13,3,0
2011-ausopen-1202,AUS_OPEN,2011,Bernard Tomic,atpta46,Feliciano Lopez,atpl397,1,20,14,3,10,53,65,40,3,27,22,6,21,1,36,54,22,47,2,35,35,555,8,29,596,20,2,21,39,5,21,3,0
2011-ausopen-1203,AUS_OPEN,2011,John Isner,atpi186,Radek Stepanek,atps694,1,3,15,5,20,59,75,28,5,11,29,7,5,3,33,52,19,14,1,19,42,311,8,35,462,23,2,39,38,7,15,3,1
2011-ausopen-1204,AUS_OPEN,2011,Santiago Giraldo,atpg725,Marin Cilic,atpc977,2,13,3,1,2,31,48,31,2,14,26,1,9,7,48,48,33,39,4,21,23,564,5,19,344,7,11,36,40,12,12,0,3
