YEAR,ACE,NETPOINTWON,BREAKPOINTWON,FIRSTSRVWON,FIRSTSRVIN,DOUBLEFAULT,FORCEDERROR,SECONDSRVIN,WINNER,GAMESWON,NETPOINT,BREAKPOINTMISSED,UNFERR,BREAKPOINT,SECONDSRVWONFROM
2011,20,67,29,174,246,15,89,124,138,1692,83,34,122,63,68
2012,37,138,38,0,0,12,0,0,262,4414,78,85,199,85,0
2014,33,70,27,0,0,14,0,0,198,3382,88,62,174,62,0
2015,17,57,24,0,0,19,0,0,180,2455,96,55,144,55,0
