P1ACE,P1BREAKPOINT,P1BREAKPOINTMISSED,P1BREAKPOINTWON,P1DOUBLEFAULT,P1FIRSTSRVIN,P1FIRSTSRVWON,P1FORCEDERROR,P1NETPOINT,P1NETPOINTWON,P1SECONDSRVIN,P1SECONDSRVWON,P1UNFERR,P1WINNER
2.65714285714,12.0380952381,11.380952381,6.62857142857,1.64285714286,7.72857142857,5.41428571429,3.77142857143,11.9619047619,10.919047619,2.85714285714,1.75714285714,25.1428571429,30.0714285714
P2ACE,P2BREAKPOINT,P2BREAKPOINTMISSED,P2BREAKPOINTWON,P2DOUBLEFAULT,P2FIRSTSRVIN,P2FIRSTSRVWON,P2FORCEDERROR,P2NETPOINT,P2NETPOINTWON,P2SECONDSRVIN,P2SECONDSRVWON,P2UNFERR,P2WINNER
8.13666666667,10.8957142857,10.4242857143,4.90142857143,1.47619047619,5.97142857143,4.68571428571,3.31428571429,21.820952381,10.7047619048,3.31428571429,1.88571428571,35.6971428571,42.4404761905

Player1,Player2
Rafael Nadal,Roger Federer
