Attribute,X[Index]
P1ACE,0
P1ACE,1
P1BREAKPOINT,2
P1BREAKPOINTMISSED,3
P1BREAKPOINTWON,4
P1DOUBLEFAULT,5
P1FIRSTSRVIN,6
P1FIRSTSRVWON,7
P1FORCEDERROR,8
P1NETPOINT,9
P1NETPOINTWON,10
P1SECONDSRVIN,11
P1SECONDSRVWON,12
P1UNFERR,13
P1WINNER,14
P2ACE,15
P2BREAKPOINT,16
P2BREAKPOINTMISSED,17
P2BREAKPOINTWON,18
P2DOUBLEFAULT,19
P2FIRSTSRVIN,20
P2FIRSTSRVWON,21
P2FORCEDERROR,22
P2NETPOINT,23
P2NETPOINTWON,24
P2SECONDSRVIN,25
P2SECONDSRVWON,26
P2UNFERR,27
P2WINNER,28
SURF_CODE,29
