P1ACE,P1BREAKPOINT,P1BREAKPOINTMISSED,P1BREAKPOINTWON,P1DOUBLEFAULT,P1FIRSTSRVIN,P1FIRSTSRVWON,P1FORCEDERROR,P1NETPOINT,P1NETPOINTWON,P1SECONDSRVIN,P1SECONDSRVWON,P1UNFERR,P1WINNER
5.66666666667,12.3333333333,12.3333333333,5.33333333333,5.0,0.0,0.0,0.0,28.0,14.0,0.0,0.0,46.6666666667,33.6666666667
P2ACE,P2BREAKPOINT,P2BREAKPOINTMISSED,P2BREAKPOINTWON,P2DOUBLEFAULT,P2FIRSTSRVIN,P2FIRSTSRVWON,P2FORCEDERROR,P2NETPOINT,P2NETPOINTWON,P2SECONDSRVIN,P2SECONDSRVWON,P2UNFERR,P2WINNER
8.6,12.375,11.825,4.975,2.075,6.0,4.51666666667,2.91666666667,32.2666666667,18.6833333333,3.13333333333,1.91666666667,26.975,38.7583333333

Player1,Player2
andrey kuznetsov,roger federer
